Registrar,Malicious,Percent
GMO Internet Inc.  ,307046,11.86
"GoDaddy.com, LLC",170356,0.87
PublicDomainRegistry.com,82464,2.77
"eNom, Inc.",78442,1.44
Alpnames Limited,57337,6.06
Xiamen Nawang Technology,35924,17.02
Xin Net Technology Corporation,31848,3.46
Chengdu West Dimension,28762,1.34
"Name.com, Inc.",28432,3.69
HiChina Zhicheng Technology ,25992,1.21
Nanjing Imperiosus,,32.67
"DomainContext, Inc.",,12.5
GMO Internet Inc.  ,,11.86
Todaynic.com Inc.,,9.99
Shanghai Meicheng Technology ,,9.25
TLD Registrar Solutions Ltd.,,8.94
Chengdu Fly-Digitial Technology,,8.05
Alpnames Limited,,6.06
Xiamen ChinaSource Interenet Service,,6.01
